districtName,currentParty,representativeName
D1,Republican,"Broxson, Doug"
D2,Republican,"Trumbull, Jay"
D3,Republican,"Simon, Corey"
D4,Republican,"Yarborough, Clay"
D5,Democrat,"Davis, Tracie"
D6,Republican,"Bradley, Jennifer"
D7,Republican,"Hutson, Travis"
D8,Republican,"Wright, Tom A."
D9,Republican,"Perry, Keith"
D10,Republican,"Brodeur, Jason"
D11,Republican,"Ingoglia, Blaise"
D12,Republican,"Burton, Colleen"
D13,Republican,"Baxley, Dennis"
D14,Republican,"Collins, Jay"
D15,Democrat,"Thompson, Geraldine F. ""Geri"""
D16,Democrat,"Rouson, Darryl Ervin"
D17,Democrat,"Stewart, Linda"
D18,Republican,"DiCeglie, Nick"
D19,Republican,"Mayfield, Debbie"
D20,Republican,"Boyd, Jim"
D21,Republican,"Hooper, Ed"
D22,Republican,"Gruters, Joe"
D23,Republican,"Burgess, Danny"
D24,Democrat,"Powell, Bobby"
D25,Democrat,"Torres, Victor M. , Jr."
D26,Democrat,"Berman, Lori"
D27,Republican,"Albritton, Ben"
D28,Republican,"Passidomo, Kathleen"
D29,Republican,"Grall, Erin"
D30,Democrat,"Polsky, Tina Scott"
D31,Republican,"Harrell, Gayle"
D32,Democrat,"Osgood, Rosalind"
D33,Republican,"Martin, Jonathan"
D34,Democrat,"Jones, Shevrin D. ""Shev"""
D35,Democrat,"Book, Lauren"
D36,Republican,"Garcia, Ileana"
D37,Democrat,"Pizzo, Jason W. B."
D38,Republican,"Calatayud, Alexis"
D39,Republican,"Avila, Bryan"
D40,Republican,"Rodriguez, Ana Maria"